
amount,blockNumber,blockTimestamp,tokenAddress,transactionHash,from.addresses,to.addresses
8.88357727077001e+18,16986584,2023-04-06T02:08:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xc9e5adc7f0c7f677af9afd2efd44f533f0d3c4a823c0a3dc99d4c030c6921e49,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x9b8fda210be6060626904eecdd022b50e657f290
3.9392388323972806e+21,16986493,2023-04-06T01:50:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x41c8f8f9951318c21a2ddb0cb2ebcdb6c4417db7451c7712bb83e055d9667f14,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xed8519ae77cc91f4d56a368154ac313d0a31a6b3
3.8318138618132137e+21,16986486,2023-04-06T01:48:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x67a30aa93151754e1fd90f5eaa628d867913ee16fbacdcda5996bdafc721f78f,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x5b32927c7138a4f9c295285d8a5e860ba991914b
2.161958875007917e+21,16986184,2023-04-06T00:47:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x981b45db23a86cf579c9dffe72c5071872d80c342c772c8f03e2c47fe495b338,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x25b70c8050b7e327ce62cfd80a0c60cccf057fa6
3.0089777000977583e+20,16986179,2023-04-06T00:46:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x591e8d486fd1b8bc5a1add49175e1e4dc77ace16da4e530425351ab0f8d6da45,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xe439999855f8e45cead290e10b76eefe686045cd
5.3565646284811796e+20,16985974,2023-04-06T00:03:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xae74371e4138198138a31a9609e7cd500573b3563e37ab567b93367f651563e3,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xef125e49fb1a1bc5f8025b364ca5486368ff87a9
2.986088386875438e+20,16978591,2023-04-04T22:54:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x91032680c49c19697ef845be8f89bde7638b50b5335580960a3e8386c16b992b,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x7d03149a2843e4200f07e858d6c0216806ca4242
4.224368257219136e+19,16968450,2023-04-03T12:19:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x85916e81e8025239d585c4d3b05682df588a62ee145e41d91b61e80315d2c730,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x6612f2e25e5ff9a45eeb93bd9519cebe5f934cd8
1.43644564128078e+20,16968055,2023-04-03T10:59:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x01be2fd2ee98a5407bdc01b4b3899275f453a3f14721aacaac33fcea6861b8f3,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x3aa8ac0e6c1fb9cbb733565de16cdc5a676bcb04
1.1496353901028963e+18,16964663,2023-04-02T23:29:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x54b23c973f344834994c82ef02044ed9d9febc11a49600fac0e982371792f3db,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xead3f696b25da755060d51b77179fef8d907310a
1.2068423899316454e+18,16959986,2023-04-02T07:39:35Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x0eea91b26773df477d57d62a21b23027c6cc809b57ced1cae6274c0cdde2f900,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xb1066863cfe18d1fb20bb64487eb2f06aef4ae49
